run_date,date,as_of_close_date,ticker,status,best_horizon,best_pred_prob,best_pred_std,best_adj_prob,close
2026-04-21,2026-04-21,2026-04-20,BNZIW,no_buy,1m,0.15032626688480377,0.028863536193966866,0.15032626688480377,0.018
2026-04-21,2026-04-21,2026-04-20,APA,no_buy,1m,0.1503058671951294,0.03486456722021103,0.1503058671951294,35.965
2026-04-21,2026-04-21,2026-04-20,AMST,no_buy,6m,0.15016843378543854,0.024141522124409676,0.15016843378543854,1.76
2026-04-21,2026-04-21,2026-04-20,AKBA,no_buy,1d,0.15001428127288818,0.04885757341980934,0.15001428127288818,1.43
2026-04-21,2026-04-21,2026-04-20,BTE,no_buy,1m,0.14960499107837677,0.04167139530181885,0.14960499107837677,4.225
2026-04-21,2026-04-21,2026-04-20,BRKR,no_buy,6m,0.1495683789253235,0.03125175088644028,0.1495683789253235,41.1
2026-04-21,2026-04-21,2026-04-20,APLE,no_buy,6m,0.1490279734134674,0.02273269183933735,0.1490279734134674,13.125
2026-04-21,2026-04-21,2026-04-20,AIT,no_buy,6m,0.14858146011829376,0.027672406286001205,0.14858146011829376,294.09
2026-04-21,2026-04-21,2026-04-20,BRW,no_buy,1m,0.14812900125980377,0.030812518671154976,0.14812900125980377,6.795
2026-04-21,2026-04-21,2026-04-20,APH,no_buy,6m,0.1478251963853836,0.02507307194173336,0.1478251963853836,152.8
2026-04-21,2026-04-21,2026-04-20,BTG,no_buy,1m,0.1468750238418579,0.03068079985678196,0.1468750238418579,4.945
2026-04-21,2026-04-21,2026-04-20,AOS,no_buy,6m,0.14674700796604156,0.02765859290957451,0.14674700796604156,65.61
2026-04-21,2026-04-21,2026-04-20,BPRN,no_buy,1m,0.14673694968223572,0.03246521204710007,0.14673694968223572,35.27
2026-04-21,2026-04-21,2026-04-20,AIG,no_buy,1m,0.14670011401176453,0.020342456176877022,0.14670011401176453,78.55
2026-04-21,2026-04-21,2026-04-20,BPYPP,no_buy,6m,0.1466817706823349,0.023786203935742378,0.1466817706823349,16.16
2026-04-21,2026-04-21,2026-04-20,BMO,no_buy,6m,0.14589720964431763,0.02580399252474308,0.14589720964431763,153.425
2026-04-21,2026-04-21,2026-04-20,AKAN,no_buy,6m,0.1457996517419815,0.026914458721876144,0.1457996517419815,3.5
2026-04-21,2026-04-21,2026-04-20,ALOT,no_buy,6m,0.14525865018367767,0.029576798900961876,0.14525865018367767,13.7
2026-04-21,2026-04-21,2026-04-20,BPYPM,no_buy,1m,0.14490218460559845,0.032888516783714294,0.14490218460559845,16.5
2026-04-21,2026-04-21,2026-04-20,BSRR,no_buy,6m,0.14438064396381378,0.020733172073960304,0.14438064396381378,36.92
2026-04-21,2026-04-21,2026-04-20,AIRS,no_buy,6m,0.14399287104606628,0.02425388991832733,0.14399287104606628,2.64
2026-04-21,2026-04-21,2026-04-20,AIZN,no_buy,6m,0.14385634660720825,0.01797090843319893,0.14385634660720825,20.15
2026-04-21,2026-04-21,2026-04-20,AIRTP,no_buy,6m,0.14382705092430115,0.020752321928739548,0.14382705092430115,19.15
2026-04-21,2026-04-21,2026-04-20,AMD,no_buy,6m,0.1437782198190689,0.04436320811510086,0.1437782198190689,274.95
2026-04-21,2026-04-21,2026-04-20,BOOT,no_buy,6m,0.14373348653316498,0.02690957300364971,0.14373348653316498,168.06
2026-04-21,2026-04-21,2026-04-20,BMNR,no_buy,1m,0.14305903017520905,0.024012096226215363,0.14305903017520905,22.53
2026-04-21,2026-04-21,2026-04-20,ALLO,no_buy,6m,0.14274825155735016,0.025119829922914505,0.14274825155735016,2.42
2026-04-21,2026-04-21,2026-04-20,BNTX,no_buy,6m,0.14274534583091736,0.028651755303144455,0.14274534583091736,105.19
2026-04-21,2026-04-21,2026-04-20,BOSC,no_buy,6m,0.14272640645503998,0.028458042070269585,0.14272640645503998,4.72
2026-04-21,2026-04-21,2026-04-20,AIHS,no_buy,6m,0.14243771135807037,0.031505417078733444,0.14243771135807037,1.31
2026-04-21,2026-04-21,2026-04-20,BRLT,no_buy,6m,0.14242424070835114,0.023351894691586494,0.14242424070835114,1.37
2026-04-21,2026-04-21,2026-04-20,BRZE,no_buy,1m,0.14227375388145447,0.028653129935264587,0.14227375388145447,23.73
2026-04-21,2026-04-21,2026-04-20,AMPL,no_buy,6m,0.14201213419437408,0.03557781130075455,0.14201213419437408,7.08
2026-04-21,2026-04-21,2026-04-20,ANRO,no_buy,1m,0.14197798073291779,0.03228779882192612,0.14197798073291779,27.255
2026-04-21,2026-04-21,2026-04-20,BRO,no_buy,1m,0.14135047793388367,0.031143082305788994,0.14135047793388367,67.78
2026-04-21,2026-04-21,2026-04-20,AAL,no_buy,6m,0.14097198843955994,0.02307758666574955,0.14097198843955994,12.24
2026-04-21,2026-04-21,2026-04-20,BNTC,no_buy,6m,0.14087070524692535,0.019173678010702133,0.14087070524692535,13.99
2026-04-21,2026-04-21,2026-04-20,AMBR,no_buy,1m,0.14051513373851776,0.023879433050751686,0.14051513373851776,2.29
2026-04-21,2026-04-21,2026-04-20,BRTX,no_buy,1m,0.14045096933841705,0.02687988243997097,0.14045096933841705,0.2582
2026-04-21,2026-04-21,2026-04-20,BSLK,no_buy,1m,0.14044597744941711,0.02984089031815529,0.14044597744941711,0.0721
2026-04-21,2026-04-21,2026-04-20,AMAL,no_buy,6m,0.14020870625972748,0.021597756072878838,0.14020870625972748,43.6
2026-04-21,2026-04-21,2026-04-20,APD,no_buy,1m,0.13941138982772827,0.028411483392119408,0.13941138982772827,296.135
2026-04-21,2026-04-21,2026-04-20,BSAC,no_buy,1m,0.1391538679599762,0.026453819125890732,0.1391538679599762,35.45
2026-04-21,2026-04-21,2026-04-20,ALVO,no_buy,1m,0.13877999782562256,0.022593047469854355,0.13877999782562256,3.62
2026-04-21,2026-04-21,2025-12-18,BRY,no_buy,6m,0.13876810669898987,0.046544697135686874,0.13876810669898987,3.26
2026-04-21,2026-04-21,2026-04-20,BNAI,no_buy,1m,0.13871310651302338,0.03025847114622593,0.13871310651302338,34.87
2026-04-21,2026-04-21,2026-04-20,BMR,no_buy,6m,0.1386534422636032,0.029908575117588043,0.1386534422636032,1.91
2026-04-21,2026-04-21,2026-04-20,BTAI,no_buy,6m,0.13820700347423553,0.03029538132250309,0.13820700347423553,1.2
2026-04-21,2026-04-21,2026-04-20,ANTX,no_buy,6m,0.13809321820735931,0.029193595051765442,0.13809321820735931,3.62
2026-04-21,2026-04-21,2026-04-20,ARCB,no_buy,1m,0.13800331950187683,0.023213230073451996,0.13800331950187683,119.15
2026-04-21,2026-04-21,2026-04-20,BNH,no_buy,6m,0.137449711561203,0.019270790740847588,0.137449711561203,15.98
2026-04-21,2026-04-21,2026-04-20,BORR,no_buy,6m,0.1372983157634735,0.033017463982105255,0.1372983157634735,5.545
2026-04-21,2026-04-21,2026-04-20,AKAM,no_buy,6m,0.13717669248580933,0.03166428953409195,0.13717669248580933,97.62
2026-04-21,2026-04-21,2026-04-20,AMCR,no_buy,6m,0.13678722083568573,0.027120040729641914,0.13678722083568573,41.66
2026-04-21,2026-04-21,2026-04-20,BTQ,no_buy,6m,0.13674744963645935,0.024643151089549065,0.13674744963645935,3.46
2026-04-21,2026-04-21,2026-04-20,AON,no_buy,6m,0.13672004640102386,0.02551955170929432,0.13672004640102386,331.85
2026-04-21,2026-04-21,2026-04-20,APVO,no_buy,1m,0.1366688460111618,0.029968054965138435,0.1366688460111618,5.21
2026-04-21,2026-04-21,2026-04-20,BTOG,no_buy,1m,0.13657711446285248,0.0479215644299984,0.13657711446285248,2.15
2026-04-21,2026-04-21,2026-04-20,BNL,no_buy,6m,0.13634322583675385,0.02127196453511715,0.13634322583675385,20.275
2026-04-21,2026-04-21,2026-04-20,AIFF,no_buy,6m,0.13593097031116486,0.02750871144235134,0.13593097031116486,1.83
2026-04-21,2026-04-21,2026-04-20,AIRJW,no_buy,6m,0.13559956848621368,0.029262352734804153,0.13559956848621368,0.6973
2026-04-21,2026-04-21,2026-04-20,BNRG,no_buy,6m,0.13556824624538422,0.02764246240258217,0.13556824624538422,3.35
2026-04-21,2026-04-21,2026-04-20,AMT,no_buy,6m,0.135565385222435,0.02070757932960987,0.135565385222435,181.625
2026-04-21,2026-04-21,2026-04-20,BOOM,no_buy,1m,0.135453462600708,0.02702719159424305,0.135453462600708,5.28
2026-04-21,2026-04-21,2026-04-20,BTBD,no_buy,6m,0.1353805512189865,0.02417321316897869,0.1353805512189865,2.25
2026-04-21,2026-04-21,2026-04-20,AMTX,no_buy,6m,0.1347636729478836,0.03370458632707596,0.1347636729478836,2.64
2026-04-21,2026-04-21,2026-04-20,BMRN,no_buy,6m,0.13431772589683533,0.03659391403198242,0.13431772589683533,54.88
2026-04-21,2026-04-21,2026-04-20,ANSCW,no_buy,1m,0.134210467338562,0.020225614309310913,0.134210467338562,0.19
2026-04-21,2026-04-21,2026-04-20,AACBR,no_buy,6m,0.13410639762878418,0.01932455413043499,0.13410639762878418,0.28
2026-04-21,2026-04-21,2026-04-20,AQB,no_buy,6m,0.13343404233455658,0.025102702900767326,0.13343404233455658,1.01
2026-04-21,2026-04-21,2026-04-20,AMPH,no_buy,6m,0.13264738023281097,0.028617091476917267,0.13264738023281097,22.92
2026-04-21,2026-04-21,2026-04-20,BNJ,no_buy,6m,0.13249966502189636,0.0271576140075922,0.13249966502189636,15.21
2026-04-21,2026-04-21,2026-04-20,BNR,no_buy,6m,0.1321953535079956,0.0356886088848114,0.1321953535079956,21.56
2026-04-21,2026-04-21,2026-04-20,BTM,no_buy,6m,0.13197243213653564,0.03023899719119072,0.13197243213653564,6.41
2026-04-21,2026-04-21,2026-04-20,ARDC,no_buy,6m,0.1318158358335495,0.02935188263654709,0.1318158358335495,12.42
2026-04-21,2026-04-21,2026-04-20,BOW,no_buy,1m,0.13110819458961487,0.029382845386862755,0.13110819458961487,24.09
2026-04-21,2026-04-21,2026-04-20,BNT,no_buy,6m,0.13078837096691132,0.03149223327636719,0.13078837096691132,46.62
2026-04-21,2026-04-21,2026-04-20,ALZN,no_buy,6m,0.13066136837005615,0.036253657191991806,0.13066136837005615,1.11
2026-04-21,2026-04-21,2026-04-20,AMBA,no_buy,6m,0.1299489289522171,0.019708966836333275,0.1299489289522171,59.28
2026-04-21,2026-04-21,2026-04-20,APYX,no_buy,6m,0.12991483509540558,0.02805347926914692,0.12991483509540558,3.94
2026-04-21,2026-04-21,2026-04-20,ALM,no_buy,6m,0.1298786997795105,0.025194643065333366,0.1298786997795105,23.37
2026-04-21,2026-04-21,2026-04-20,BRN,no_buy,6m,0.12975622713565826,0.022485649213194847,0.12975622713565826,1.14
2026-04-21,2026-04-21,2026-04-20,BOTJ,no_buy,6m,0.12963108718395233,0.024200474843382835,0.12963108718395233,23.35
2026-04-21,2026-04-21,2026-04-20,APG,no_buy,6m,0.1294259876012802,0.02521386370062828,0.1294259876012802,48.72
2026-04-21,2026-04-21,2026-04-20,BN,no_buy,6m,0.12906187772750854,0.02653323858976364,0.12906187772750854,46.665
2026-04-21,2026-04-21,2026-04-20,AIRO,no_buy,6m,0.12864409387111664,0.024094734340906143,0.12864409387111664,8.59
2026-04-21,2026-04-21,2026-04-20,BRIA,no_buy,6m,0.1281244158744812,0.032486069947481155,0.1281244158744812,1.7165
2026-04-21,2026-04-21,2026-04-20,AMRX,no_buy,6m,0.12774789333343506,0.02781197428703308,0.12774789333343506,13.26
2026-04-21,2026-04-21,2026-04-20,APAM,no_buy,6m,0.1274811029434204,0.02081814780831337,0.1274811029434204,37.61
2026-04-21,2026-04-21,2026-04-20,AMTM,no_buy,1m,0.12702006101608276,0.029936257749795914,0.12702006101608276,27.63
2026-04-21,2026-04-21,2026-04-20,AHCO,no_buy,6m,0.12654413282871246,0.030378025025129318,0.12654413282871246,12.67
2026-04-21,2026-04-21,2026-04-20,BTBDW,no_buy,6m,0.12637965381145477,0.024316053837537766,0.12637965381145477,0.24
2026-04-21,2026-04-21,2026-04-20,AIRJ,no_buy,6m,0.1261553168296814,0.02611277811229229,0.1261553168296814,3.25
2026-04-21,2026-04-21,2026-04-20,AHT,no_buy,6m,0.12558519840240479,0.020738504827022552,0.12558519840240479,3.19
2026-04-21,2026-04-21,2026-04-20,AGNCP,no_buy,6m,0.12511400878429413,0.025890901684761047,0.12511400878429413,24.53
2026-04-21,2026-04-21,2026-04-20,ANNX,no_buy,6m,0.12476906180381775,0.02362571284174919,0.12476906180381775,6.43
2026-04-21,2026-04-21,2026-04-20,AHMA,no_buy,6m,0.12476789206266403,0.022509589791297913,0.12476789206266403,1.32
2026-04-21,2026-04-21,2026-04-20,ARBB,no_buy,1m,0.12467679381370544,0.025153186172246933,0.12467679381370544,4.31
2026-04-21,2026-04-21,2026-04-20,BR,no_buy,6m,0.12441083788871765,0.02335369400680065,0.12441083788871765,161.26
2026-04-21,2026-04-21,2026-04-20,AMSC,no_buy,6m,0.12425815314054489,0.03406281769275665,0.12425815314054489,40.73
2026-04-21,2026-04-21,2026-04-20,AP,no_buy,1m,0.1241285502910614,0.02209252305328846,0.1241285502910614,9.69
2026-04-21,2026-04-21,2026-04-20,AOUT,no_buy,1m,0.12304697930812836,0.025084536522626877,0.12304697930812836,9.62
2026-04-21,2026-04-21,2026-04-20,AMC,no_buy,6m,0.12294021248817444,0.02631547674536705,0.12294021248817444,1.835
