[v5] device=cuda | visible GPUs=1 | current=cuda:0 (NVIDIA GeForce RTX 5090)
[v5] building frames for 7597 tickers ...
[v5] usable frames: 7094
[v5] eval_mode=time eval_tickers=0 val_tickers=0
[v5] scaler fit on 23948324 train rows
[v5] era-proxy audit (|rho|>0.2): none
[v5] class rates [train] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.57, 0.22]  1m:[0.21, 0.54, 0.24]  6m:[0.22, 0.51, 0.26]
[v5] class rates [val] (down/neutral/up): 1d:[0.21, 0.59, 0.21]  1w:[0.22, 0.56, 0.22]  1m:[0.23, 0.53, 0.23]  6m:[0.23, 0.52, 0.25]
[v5] class rates [oos] (down/neutral/up): 1d:[0.21, 0.58, 0.21]  1w:[0.21, 0.56, 0.23]  1m:[0.22, 0.53, 0.25]  6m:[0.23, 0.46, 0.31]
[v5] train windows: 23105132 | val windows (subsampled): 1000000 | eval tickers: 4992
[v5] schedule | 90255 steps/epoch | budget 1805100 steps (~20.0 ep) | t_max 1805100 | eval every 10000 steps | patience 10 (~100000 steps no-improve) | workers 8 | members [1, 2)
[v5] val constant-marginal baseline CE = 3.5478 (model must beat this to be learning anything conditional)
[member 1] start | 23105132 train / 1000000 val windows | 90255 steps/epoch | eval every 10000 steps | max 1805100 steps | patience 10
[member 1] step 11000/1805100 (ep 0.12) | loss 3.3106 | lr 3.00e-04 | 10.9 it/s | eta 2735m
[member 1] step 11100/1805100 (ep 0.12) | loss 3.3062 | lr 3.00e-04 | 10.9 it/s | eta 2732m
[member 1] step 11200/1805100 (ep 0.12) | loss 3.3006 | lr 3.00e-04 | 11.0 it/s | eta 2729m
[member 1] step 11300/1805100 (ep 0.13) | loss 3.3104 | lr 3.00e-04 | 11.0 it/s | eta 2726m
[member 1] step 11400/1805100 (ep 0.13) | loss 3.3034 | lr 3.00e-04 | 11.0 it/s | eta 2723m
[member 1] step 11500/1805100 (ep 0.13) | loss 3.3010 | lr 3.00e-04 | 11.0 it/s | eta 2720m
[member 1] step 11600/1805100 (ep 0.13) | loss 3.3000 | lr 3.00e-04 | 11.0 it/s | eta 2717m
[member 1] step 11700/1805100 (ep 0.13) | loss 3.2989 | lr 3.00e-04 | 11.0 it/s | eta 2714m
[member 1] step 11800/1805100 (ep 0.13) | loss 3.2989 | lr 3.00e-04 | 11.0 it/s | eta 2711m
[member 1] step 11900/1805100 (ep 0.13) | loss 3.3034 | lr 3.00e-04 | 11.0 it/s | eta 2708m
[member 1] step 12000/1805100 (ep 0.13) | loss 3.3010 | lr 3.00e-04 | 11.0 it/s | eta 2706m
[member 1] step 12100/1805100 (ep 0.13) | loss 3.2981 | lr 3.00e-04 | 11.1 it/s | eta 2703m
[member 1] step 12200/1805100 (ep 0.14) | loss 3.3022 | lr 3.00e-04 | 11.1 it/s | eta 2700m
